question,class
ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน ไร้ใบตราสาร,1
Penny Stock หุ้นเหรียญ มีลักษณะอย่างไร,1
ราคาต้นงวดคืออะไร,1
อัตราการใช้สิทธิของ NVDR คือเท่าไหร่,1
หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) คืออะไร,1
ข้อสัญญา (Covenants) คืออะไร,1
XT คืออะไร,1
Equity-Linked Product  คืออะไร,1
หลักเกณฑ์การขึ้นเครื่องหมาย  SP มีอะไรบ้าง,1
รายละเอียด เสนอขายกองทุนครั้งแรก (Initial Public Offering: IPO) มีอะไรบ้าง,1
ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ในไทย มีอะไรบ้าง,1
ผู้ออกตั๋วเงินคลัง คือผู้ใด,1
รูปแบบของกระแสเงินสด มีกี่รูปแบบ,1
ประโยชน์ของกองทุนรวมต่อด้านตลาดการเงิน คืออะไร,1
สำนักหักบัญชี ทำหน้าที่อะไร,1
หนังสือชี้ชวนส่วนข้อมูลโครงการ คืออะไร,1
Feeder Fund คืออะไร,1
อายุของตราสาร ของ Warrant (ไทย) คือเท่าไหร่,1
SETSMART on Internet มีอะไรบ้าง,1
หลักการสำคัญในการคำนวณราคาเปิดและราคาปิด คืออะไร,1
สมมติฐานการนำดอกเบี้ยรับไปลงทุนต่อ คืออะไร,1
SETSMART on Extranet มีอะไรบ้าง,1
บริหารแบบเชิงรุกมีความเชื่ออย่างไร,1
LTF มีนโยบายการลงทุน อย่างไร,1
การซื้อแล้วถือยาว (Buy and Hold Strategy) มีวิธีการอย่างไร,1
ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีกี่ระดับ,1
บริหารแบบเชิงรุก มีวิธีการลงทุนอย่างไร,1
ตราสารหนี้แบ่งตามสิทธิแฝง มีอะไรบ้าง,1
Mid-cap Stock (หุ้นกลาง) คืออะไร,1
กองทุนรวมตราสารทุน (Equity Fund) คืออะไร,1
16.30 – 16.40 น. มีรายละเอียดอย่างไร,1
ผู้ที่ออกตั๋วแลกเงินและ หุ้นกู้ คือผู้ใด,1
Floor คืออะไร,1
CB คืออะไร,1
กลยุทธ์การจัดสรรสินทรัพย์ลงทุน (Asset Allocation) คืออะไร,1
กองทุนที่ได้สิทธิประโยชน์ทางภาษีในปัจจุบันมีกองทุนอะไรบ้าง,1
NP คืออะไร,1
ประโยชน์ของกองทุนรวมต่อด้านระบบเศรษฐกิจ คืออะไร,1
วิธีคิดลดกระแสเงินสดอิสระของกิจการ (Discounted Free Cash Flow to Firm) คืออะไร,1
เพราะเหตุใดผู้ลงทุนจึงไม่ควรซื้อ LTF และ RMF เกินสิทธิที่ได้รับการลดหย่อนภาษี,1
ตราสารหนี้ระยะยาว คืออะไร,1
กองทุนรวมที่มีความเสี่ยงต่างประเทศ คืออะไร,1
ความเสี่ยงของกองทุนอสังหาฯ มีอะไรบ้าง,1
Warrant ความหมายในไทยคืออะไร,1
การพยายามขายให้ดีที่สุด คืออะไร,1
ผู้เกี่ยวข้องกับตราสารหนี้ไทย มีกี่กลุ่ม,1
สิทธิ์ของผู้ถือหุ้นสามัญ มีอะไรบ้าง,1
หุ้นกู้แปลงสภาพ (Convertible Bond) คืออะไร,1
หน้าที่ของผู้รับฝากทรัพย์สิน คืออะไร,1
อายุของตราสาร ของ DW คือเท่าไหร่,1
ความเสี่ยงที่จะกระทบต่อความต้องการลงทุนในตราสารทุนมีอะไรบ้าง,1
บริหารแบบเชิงรับมีความเชื่ออย่างไร,1
อัตราส่วนที่ใช้วิเคราะห์ Warrant (ไทย) มีอะไรบ้าง,1
ลักษณะของสิทธิแฝง (Embedded Option) คืออะไร,1
ระดับความเสี่ยงของกองทุนรวมตามประเภทสินทรัพย์ มีอะไรบ้าง,1
XE คืออะไร,1
กองทุนรวมดัชนีกองทุนรวมดัชนี (Index Fund) คืออะไร,1
ที่มาและวัตถุประสงค์ของ RMF คืออะไร,1
เพราะเหตุใดผู้ลงทุนจึงควรทำ Portfolio Rebalancing,1
ในตลาด TBX ปรับช่วงราคาอย่างไร,1
XM คือออะไร,1
ตราสารหนี้แบ่งตามวิธีคืนเงินต้น มีอะไรบ้าง,1
กระทรวงพาณิชย์ ให้ข้อมูลอะไรบ้าง,1
XW คืออะไร,1
สูตรการคำนวณ NAV คืออะไร,1
ILB คืออะไร,1
การซื้อหุ้นด้วยจำนวนเงินเท่าๆ กันตามกำหนดเวลาโดยไม่สนใจว่าราคาจะเป็นเท่าไร เป็นกลยุทธ์การลงทุนแบบใด,1
ตราสารหนี้ที่จ่ายดอกเบี้ยคงที่ คืออะไร,1
Mega-cap Stock คืออะไร,1
ตราสารหนี้แบ่งตามอายุของตราสาร มีอะไรบ้าง,1
การลงทุนที่ลงทุนในหุ้นที่มีราคาต่ำกว่ามูลค่าที่แท้จริง เป็นกลยุทธ์การลงทุนแบบใด,1
ราคาต้นทุน คืออะไร,1
LTF มีการจ่ายปันผลอย่างไร,1
Cash Flow Based Approach (Income Based Approach) คืออะไร,1
ประโยชน์ของ NVDR คืออะไร,1
ที่มาและวัตถุประสงค์ ของ LTF คืออะไร,1
Defensive Stock หุ้นตั้งรับ มีลักษณะอย่างไร,1
ประเมินมูลค่าหุ้น คืออะไร,1
ผู้ลงทุนสถาบัน ตามประกาศของ ก.ล.ต. มีอะไรบ้าง,1
อัตราผลตอบแทนถึงวันไถ่ถอนก่อนกำหนดจากผู้ออก คืออะไร,1
สูตรการคำนวณ NAV per unit คืออะไร,1
บริหารแบบเชิงรุกมีเป้าหมายการลงทุนคืออะไร,1
หน้าที่ของกระทรวงการคลัง คืออะไร,1
บริหารแบบเชิงรับ มีวิธีการลงทุนอย่างไร,1
สมาคมตราสารหนี้ไทย มีหน้าที่อะไร,1
Liquidation Value (มูลค่าที่ขายทอดตลาดได้) คืออะไร,1
แหล่งที่มาของเงินทุนในการทำธุรกิจโดยทั่วไปมาจากแหล่งใด,1
การประเมินมูลค่า มีกี่ขั้นตอน,1
อัตราคิดลดคืออะไร,1
การลงทุนแบบสวนตลาด (Contrarian Investing Strategy) มีวิธีการลงทุนอย่างไร,1
สาเหตุของการระดมทุนด้วยตราสารหนี้ของภาครัฐและรัฐวิสาหกิจ คืออะไร,1
XB คืออะไร,1
ราคาหุ้นสามัญลดลงรุนแรงเนื่องจากบริษัทมีความเสี่ยงที่จะล้มละลาย ส่งผลอย่างไรกับหุ้นกู้แปลงสภาพ,1
RMF มีการจ่ายปันผลอย่างไร,1
วิธีคิดลดเงินปันผล (Dividend Discount Model :DDM) คืออะไร,1
การกำหนดสัดส่วนสินทรัพย์เชิงกลยุทธ์ (Strategic Asset Allocation: SAA) คืออะไร,1
กองทุนรวมที่มีความเสี่ยงทั้งในและต่างประเทศ คืออะไร,1
XR คืออะไร,1
หน้าที่ของสถาบันจัดอันดับความน่าเชื่อถือ คืออะไร,1
ผลตอบแทนของกองทุนรวมมีอะไรบ้าง,1
XN คืออะไร,1
ลักษณะสำคัญของกองทุนเปิด คืออะไร,1
Market timing (การจับจังหวะลงทุน) คืออะไร,1
16.40 – 17.00 น. มีรายละเอียดอย่างไร,1
BOT คืออะไร,1
กระทรวงการคลัง ให้ข้อมูลอะไรบ้าง,1
ธนาคารแห่งประเทศไทย ให้ข้อมูลอะไรบ้าง,1
สิทธิประโยชน์ทางภาษีของผู้ถือ NVDR ที่ผู้ลงทุนเป็นบุคคลธรรมดา คืออะไร,1
ที่ปรึกษาทางการเงิน ทำหน้าที่อะไร,1
วิธีคิดลดกระแสเงินสดอิสระของผู้ถือหุ้น (Discounted Free Cash Flow to Equity) คืออะไร,1
หน้าที่ของนายทะเบียน คืออะไร,1
วัตถุประสงค์การออก Warrant (ไทย) คืออะไร,1
Combined Method (ผสม) คืออะไร,1
สิทธิทางภาษีของ RMF คืออะไร,1
กองทุนรวมที่กำหนดระยะเวลาลงทุน (Term Fund) คืออะไร,1
Warrant (ไทย) ต้องมีผู้ดูแลสภาพคล่องหรือไม่,1
กลยุทธ์ที่เลือกกองทุนแบบ Passive เป็นส่วนใหญ่ และ ส่วนที่เหลือจะเลือกกองทุนแบบ Active คือกลยุทธ์อะไร,1
ขั้นตอนการคำนวณการประเมินมูลค่าด้วยวิธีคิดลดเงินปันผล มีกี่ขั้นตอน,1
ตราสารหนี้แบ่งตามผู้ออกตราสาร มีอะไรบ้าง,1
เวลาการซื้อขายในตลาด TBX คือช่วงเวลาใดบ้าง,1
Warrant (ไทย) มีภาษีเมื่อมีการส่งมอบหรือไม่,1
Small-cap Stock คืออะไร,1
ราคาของกองทุน คืออะไร,1
การประเมินมูลค่าตราสารหนี้ที่ไม่จ่ายดอกเบี้ย ทำอย่างไร,1
Speculative Stock หุ้นเก็งกำไร มีลักษณะอย่างไร,1
Income Stock / Dividend Stock หุ้นปันผล มีลักษณะอย่างไร,1
ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน มีใบตราสาร,1
การลงทุนแบบเน้นคุณค่า (Value Investing) มีวิธีการอย่างไร,1
สาเหตุของการระดมทุนด้วยตราสารหนี้ของภาคเอกชน คืออะไร,1
คณะกรรมการกำหนดนโยบายการเงิน (กนง.) มีกี่คน ใครบ้าง,1
ตราสารหนี้แบ่งตามลักษณะการถือ มีอะไรบ้าง,1
สำนักงานบริหารหนี้สาธารณะ ให้ข้อมูลอะไรบ้าง,1
หลักเกณฑ์ในการเปิดบัญชีซื้อขายหลักทรัพย์ ทำอย่างไร,1
ใช้เจ้าหน้าที่วิเคราะห์ข้อมูลการซื้อขายอย่างไร,1
NVRD อ้างอิงกับหลักทรัพย์ประเภทใดได้บ้าง,1
ความเสี่ยงจากอัตราแลกเปลี่ยน (Exchange rate risk / Currency risk) คืออะไร,1
การคำนวณ YTC และ YTM แต่มีจุดต่างกัน กี่จุด,1
Warrant ความหมายโดยสากลคืออะไร,1
เวลาในการซื้อขายหลักทรัพย์ มีรายละเอียดอย่างไร,1
ผลตอบแทนและความเสี่ยงของ NVDR คืออะไร,1
วันครบกำหนดไถ่ถอน (Maturity Date) คืออะไร,1
สิทธิประโยชน์ทางภาษีของผู้ถือ NVDR ที่ผู้ลงทุนเป็นนิติบุคลที่จัดตั้งขึ้นตามกฎหมายต่างประเทศ คืออะไร,1
การจับคู่หุ้น (Pairs Trading) มีวิธีการอย่างไร,1
การหยุดความเสียหาย (Stop Loss) มีวิธีการอย่างไร,1
แบ่งประเภทกองทุนรวมตามนโยบายการจ่ายผลตอบแทน มีอะไรบ้าง,1
ST คืออะไร,1
แบ่งประเภทกองทุนรวมตามนโยบายการลงทุน มีอะไรบ้าง,1
รูปแบบการใช้สิทธิของ DW คืออะไร,1
LB คืออะไร,1
ประเภทของหุ้นบุริมสิทธิ มีอะไรบ้าง,1
กระบวนการตรวจสอบการเปิดบัญชีหลักทรัพย์มีวิธีใดบ้าง,1
Cyclical Stock หุ้นวัฏจักร มีลักษณะอย่างไร,1
หุ้นบุริมสิทธิ (Preferred Stock) คืออะไร,1
หุ้นกู้ต่างประเทศ (Foreign Bond) คืออะไร,1
เงื่อนไขในการลงทุนของ RMF คืออะไร,1
การส่งมอบ Warrant (ไทย) คือวิธีใด,1
Small-cap Stock (หุ้นเล็ก) คืออะไร,1
การประเมินมูลค่า มีขั้นตอนอะไรบ้าง,1
Free hold คืออะไร,1
หากปริมาณการออกตราสารหนี้ในตลาดแรกมีสูง หมายความว่าอย่างไร,1
แบ่งประเภทกองทุนรวมตามความเสี่ยงต่างประเทศ มีอะไรบ้าง,1
การเข้าซื้อ ด้วยจำนวนเงินเท่าๆ กัน ในช่วงเวลาที่กำหนด คือกลยุทธ์อะไร,1
NC คืออะไร,1
Nano-Cap Stock คืออะไร,1
ความสามารถของการใช้ระบบใช้ระบบคอมพิวเตอร์ (WATCHs) คืออะไร,1
Micro-cap Stock คืออะไร,1
ความเสี่ยงเมื่อลงทุนต่างประเทศ คืออะไร,1
ความเสี่ยงที่จะกระทบต่อผลการดำเนินงาน มีอะไรบ้าง,1
14.00 – 14.30 น. มีรายละเอียดอย่างไร,1
สูตรการคำนวณ เงินปันผล คืออะไร,1
กองทุนรวมตราสารหนี้ระยะสั้น (Short-Term Fixed-Income Fund) คืออะไร,1
หุ้นกู้ยูโร (Euro Bond) คืออะไร,1
TRIS Rating ให้ข้อมูลใดบ้าง,1
กลยุทธ์ที่เลือกกองทุนแบบ Passive ทั้งหมด เพื่อสร้างผลตอบแทนใกล้เคียงกับดัชนีที่สุด คือกลยุทธ์อะไร,1
ประเภทของสิทธิของ DW คืออะไร,1
ราคาปลายงวด คืออะไร,1
NVDR ที่อ้างอิงกับหุ้นสามัญ ต้องมีการรายงานการถือครองอะไรบ้าง,1
ที่มาของเงินทุนในการทำธุรกิจมาจากแหล่งใดบ้าง,1
กองทุนรวมสินทรัพย์ทางเลือก (Alternative Investment Fund) คืออะไร,1
ความเสี่ยงทางธุรกิจ (Business Risk) คืออะไร,1
NR คืออะไร,1
ใครคือผู้ออกตราสาร Warrant (ไทย),1
ข้อบังคับของตลาดหลักทรัพย์ที่กำหนดว่าลักษณะของคำสั่งซื้อขายที่ไม่เหมาะสมมีอะไรบ้าง,1
มูลค่าตลาด คืออะไร,1
เครื่องมือการลงทุนที่เข้ามาทดแทนกองทุนรวมอสังหาริมทรัพย์ที่ไม่สามารถจัดตั้ง และเพิ่มทุนได้อีก คืออะไร,1
SP หมายถึงอะไร,1
9.30 – 10.00 น. มีรายละเอียดอย่างไร,1
SP คืออะไร,1
ผู้ลงทุนสามารถตัดสินใจถือ/อยู่เฉยๆเมื่อใด,1
กองทุนรวมที่ไม่มีความเสี่ยงต่างประเทศ คืออะไร,1
ช่องทางการส่งคำสั่งซื้อขาย แบ่งตามประเภทผู้ซื้อ มีอะไรบ้าง,1
กองทุนรวมโครงสร้างพื้นฐาน (Infrastructure Fund) คืออะไร,1
กองทุนเปิดจะต้องเลิกโครงการเมื่อใด,1
อัตราผลตอบแทนจากดอกเบี้ย คืออะไร,1
พันธบัตรชดเชยเงินเฟ้อ (Inflation-Linked bond) คืออะไร,1
DW มีภาษีเมื่อมีการส่งมอบหรือไม่,1
ผู้ลงทุนรายใหญ่ คืออะไร,1
บัญชีมาร์จิ้น (Margin Account) คืออะไร,1
ผู้ลงทุนรายใหญ่ที่เป็นบุคคลธรรมดา ต้องมีรายได้เท่าไหร่,1
ความเสี่ยงต่อระดับความต้องของการลงทุนในตราสารทุนคืออะไร,1
Large-cap Stock (หุ้นใหญ่) คืออะไร,1
อัตราส่วนที่ใช้วิเคราะห์ DW มีอะไรบ้าง,1
ประเภทของตราสารทุน มีอะไรบ้าง,1
ความเสี่ยงจากการลงทุนต่อ (Reinvestment risk) มีอะไรบ้าง,1
ผู้ลงทุนรายใหญ่พิเศษ คืออะไร,1
รูปแบบการใช้สิทธิของ Warrant (ไทย) คืออะไร,1
Premium Bond คืออะไร,1
SET Connect คืออะไร,1
ใครคือผู้ออกพันธบัตรรัฐบาล,1
วิธีการบริหารการลงทุนของกองทุนรวม มีกี่ประเภท,1
กองทุนผสม (Mixed Fund) คืออะไร,1
จุดเด่นของระบบ SET Connect คืออะไร,1
ตราสารหนี้แบ่งตามสิทธิเรียกร้อง มีอะไรบ้าง,1
ความเสี่ยงด้านสภาพคล่อง (Liquidity risk) มีอะไรบ้าง,1
กองทุนรวมคุ้มครองเงินต้น (Capital Protection Fund) คืออะไร,1
ตราสารหนี้ที่ผู้ลงทุนมีสิทธิเรียกคืนเงินกู้ก่อนครบกำหนด (Puttable Bond) คืออะไร,1
ข้อเสียของ Book Value (มูลค่าตามบัญชี) คืออะไร,1
มูลค่าหน้าตั๋ว/มูลค่าที่ตราไว้ (Face Value/Par Value) คืออะไร,1
การรับซื้อหลักทรัพย์ที่เหลือเพื่อขายต่อ คืออะไร,1
Asset Based Approach คืออะไร,1
ความเสี่ยงต่อผลการดำเนินงานของกิจการ คืออะไร,1
สูตรการคำนวณ อัตราผลตอบแทนรวม คืออะไร,1
หนังสือชี้ชวนส่วนสรุปข้อมูลสำคัญ (Fund Fact Sheet) ทำให้ผู้ลงทุนทราบอะไรบ้าง,1
มาตรการการป้องกันไม่ให้เกิดการซื้อขายที่ไม่เป็นธรรม มีอะไรบ้าง,1
สิทธิประโยชน์ของผู้ถือ NVDR มีอะไรบ้าง,1
บทวิเคราะห์เชิงลึกควรมีองค์ประกอบเพิ่มเติมอะไรบ้าง,1
ตลาดหลักทรัพย์แห่งประเทศไทย ให้ข้อมูลอะไรบ้าง,1
สูตรการคำนวณ Capital gain คืออะไร,1
Fund of Funds คืออะไร,1
ประเภทของกองทุนรวม แบ่งตามเกณฑ์มีกี่เกณฑ์,1
ความเสี่ยงจากผู้จัดการกองทุน (Fund manager risk) คืออะไร,1
รายได้หลักของกองทุนรวมโครงสร้างพื้นฐานมาจากที่ใด,1
ธุรกรรมซื้อคืน คืออะไร,1
Large-cap Stock คืออะไร,1
อัตราดอกเบี้ยนโยบาย คืออะไร,1
อัตราผลตอบแทนถึงวันครบกำหนด คืออะไร,1
บทลงโทษตามความผิดของ พรบ. หลักทรัพย์และตลาดหลักทรัพย์ มีอะไรบ้าง,1
ใครเป็นผู้ออกตราสารหนี้ภาครัฐ ไร้ใบตราสาร,1
ตราสารศุกูก (Sukuk) คืออะไร,1
Value Stock หุ้นคุณค่า มีลักษณะอบ่างไร,1
ขายตราสารหนี้ เมื่อใด,1
REITs คืออะไร,1
Cap คืออะไร,1
Blue-Chip Stock หุ้นใหญ่แข็งแกร่ง มีลักษณะอย่างไร,1
ราคาหุ้นสามัญลดลง ส่งผลอย่างไรกับราคาหุ้นกู้แปลงสภาพ,1
ประโยชน์ของกองทุนรวมต่อผู้ลงทุน คืออะไร,1
MLR (Minimum Load Rate) คืออะไร,1
กองทุนรวม ETF (Exchange Trade Fund) คืออะไร,1
การขอเปิดบัญชีหลักทรัพย์ต้องมีข้อมูลเกี่ยวกับลูกค้าอะไรบ้าง,1
กองทุนรวมแบบมีประกัน (Guarantee Fund) คืออะไร,1
ประเภทของธุรกิจในไทย มีกี่ประเภท,1
ความเสี่ยงจากความผันผวนของราคากองทุน (Market risk) คืออะไร,1
SETSMART Enterprise มีอะไรบ้าง,1
หากผู้ลงทุนคาดว่าอัตราเงินเฟ้อในอนาคตจะสูงขึ้น จะส่งผลอย่างไร,1
ผู้ค้าตราสารหนี้สร้างรายได้จากที่ใด,1
หุ้นกู้ระหว่างประเทศ (International Bond) คืออะไร,1
Equity-Linked Product ที่ซื้อขายในตลาดหลักทรัพย์ มีประเภทใดบ้าง,1
เกณฑ์ในการแบ่งประเภทหุ้นสามัญมีอะไรบ้าง,1
สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ (ก.ล.ต.) มีหน้าที่อะไร,1
12.30 – 14.00 น. มีรายละเอียดอย่างไร,1
การประเมินมูลค่าของ DW มีอะไรบ้าง,1
ลักษณะของธุรกรรมซื้อคืน มีอะไรบ้าง,1
กองทุนตราสารหนี้ (General Fixed Income Fund) คืออะไร,1
ลักษณะการซื้อขายที่ไม่เป็นธรรมตามข้อกฎหมายของ พรบ. หลักทรัพย์และตลาดหลักทรัพย์ มีอะไรบ้าง,1
ใครคือผู้ออกตราสาร DW,1
เอกสารแนบ คืออะไร,1
การชำระราคาและส่งมอบหลักทรัพย์แบบทีละรายการ (Gross Clearing) คืออะไร,1
กรณีบริษัทล้มละลาย ลำดับในการได้รับเงินมีอะไรบ้าง,1
การประเมินมูลค่าตราสารหนี้ หมายถึงอะไร,1
ตราสารหนี้ที่ไม่กำหนดอายุไถ่ถอน (Perpetual Bond) คืออะไร,1
การปรับสิทธิเมื่อปันผลของDW เป็นอย่างไร,1
ข้อมูลจากตลาดหลักทรัพย์ มีอะไรบ้าง,1
ลักษณะของห้างหุ้นส่วนสามัญ คืออะไร,1
ลักษณะของบริษัทจำกัด คืออะไร,1
การประเมินมูลค่าตราสารหนี้ทั่วไป ทำอย่างไร,1
ลักษณะสำคัญของกองทุนรวมสินค้าโภคภัณฑ์ มีอะไรบ้าง,1
ทำไมจึงต้องติดตามภาวะการซื้อขาย,1
รูปแบบการจัดจำหน่ายหลักทรัพย์ มีกี่รูปแบบ,1
ตราสารหนี้ที่ไม่จ่ายดอกเบี้ย (Zero Coupon Bond) คืออะไร,1
Limit Price Order คืออะไร,1
การกำกับดูแลการซื้อขายที่ดีส่งผลต่อบริษัทสมาชิก (บล.) อย่างไร,1
Net Asset Value (มูลค่าทรัพย์สินสุทธิ) คืออะไร,1
หลักการกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย มีกี่แนวทาง,1
การลงทุนแบบถัวเฉลี่ยต้นทุน (Dollar-Cost Averaging: DCA) มีวิธีการลงทุนอย่างไร,1
ผู้ลงทุนสามารถตัดสินใจซื้อเมื่อใด,1
นายหน้าค้าตราสารหนี้ มีรายได้จากส่วนใด,1
NP หมายถึงอะไร,1
ตราสารหนี้ภาครัฐ คืออะไร,1
บัญชีเงินสดแบบมีหลักประกันเต็มจำนวน (Cash Balance) คืออะไร,1
DW มี Credit Risk หรือไม่,1
การลงทุนในทิศทางที่ตรงข้ามกับคนส่วนใหญ่เป็นกลยุทธ์การลงทุนแบบใด,1
ลักษณะของกิจการเจ้าของคนเดียว คืออะไร,1
Securitization คืออะไร,1
บริษัทที่ทำธุรกิจขายกองทุนรวม คืออะไร,1
ตราสารหนี้ชนิดทยอยคืนเงินต้น (Amortizing Bond) คืออะไร,1
การลงทุนแบบเน้นการเติบโต (Growth Investing) มีวิธีการลงทุนอย่างไร,1
ปัจจัยที่ส่งผลต่อผลตอบแทนด้านความสามารถในการชำระหนี้ คืออะไร,1
ประโยชน์ของตลาดซื้อคืน คืออะไร,1
ก.ล.ต. ให้ข้อมูลอะไรบ้าง,1
ผู้ที่ออกพันธบัตรรัฐวิสาหกิจ คือผู้ใด,1
สูตร Current Yield คืออะไร,1
14.30 – 16.30 น. มีรายละเอียดอย่างไร,1
พัฒนาการของระบบการซื้อขายของตลาดหลักทรัพย์แห่งประเทศไทย เป็นอย่างไร,1
Warrant (ไทย) ส่งมอบ Physical อย่างไร,1
กองทุนรวมที่มีนโยบายขายคืนอัตโนมัติ แตกต่างจากนโยบายอื่นๆอย่างไร,1
ตัวอย่างข้อมูลสถิติที่สำคัญของหลักทรัพย์ที่ถูกวิเคราะห์ มีอะไรบ้าง,1
ตราสารหนี้ที่จ่ายดอกเบี้ยลอยตัว คืออะไร,1
กองทุนรวมตลาดเงิน (Money Market) คืออะไร,1
การได้มาของตราสารในครั้งแรกของ DW ได้มาอย่างไร,1
หากต้องการเก็งกำไรจากการซื้อจะขายเมื่อราคา Warrant เป็นอย่างไร,1
ตราสารหนี้แบ่งตามวิธีจ่ายดอกเบี้ย มีอะไรบ้าง,1
กระบวนการซื้อขายในตลาดตราสารหนี้ มีอะไรบ้าง,1
ปัจจัยสำคัญที่มีผลต่อมูลค่าของหุ้นมีอะไรบ้าง,1
สิทธิทางภาษีของ LTF คืออะไร,1
การได้มาของตราสารในครั้งแรกของ Warrant (ไทย) ได้มาอย่างไร,1
การประเมินมูลค่าแบบ Absolute Valuation คืออะไร,1
ประเภทของหุ้นส่วนมีอะไรบ้าง,1
การซื้อขายในตลาด TBX กำหนดราคาซื้อขายอย่างไร,1
NR หมายถึงอะไร,1
ธุรกรรมซื้อขายปกติ คืออะไร,1
ตราสารหนี้ที่มีหลักทรัพย์ค้ำประกัน (Secured Bond) คืออะไร,1
10.00 – 12.30 น. มีรายละเอียดอย่างไร,1
ความเสี่ยงจากการผิดนัดชำระหนี้ (Credit risk) คืออะไร,1
FITCH Rating (Thailand) ให้ข้อมูลใดบ้าง,1
NAV แสดงให้เห็นอะไร,1
ATO (at the open) คืออะไร,1
ลักษณะของบริษัทจำกัดมหาชน คืออะไร,1
การจ่ายเงินปันผล REITs ต้องจ่ายเท่าใด,1
XD คืออะไร,1
เกณฑ์การหยุดการซื้อขายชั่วคราว มีอะไรบ้าง,1
อัตราการจ่ายดอกเบี้ย (Coupon Rate) คืออะไร,1
กลยุทธ์การเข้าซื้อและขาย มีกี่กลยุทธ์,1
สิทธิ์ของผู้ถือหุ้นบุริมสิทธิ มีอะไรบ้าง,1
รูปแบบของกระแสเงินสด มีรูปแบบใดบ้าง,1
H คืออะไร,1
แบ่งประเภทกองทุนรวมตามลักษณะพิเศษ มีอะไรบ้าง,1
H หมายถึงอะไร,1
วิธีการชำระราคาและส่งมอบหลักทรัพย์แบบ Net Clearing คืออะไร,1
วัตถุประสงค์การออก DW คืออะไร,1
