question,class
ตราสารหนี้แบบไม่มีใบตราสาร (Scripless) มีลักษณะอย่างไร,1
กองทุนทริกเกอร์ (Trigger Fund) คืออะไร,1
บทลงโทษตามความผิดของข้อบังคับของตลาดหลักทรัพย์ มีอะไรบ้าง,1
การกำกับดูแลการซื้อขายที่ดีส่งผลต่อผู้ลงทุนอย่างไร,1
แบ่งประเภทกองทุรรวมตามลักษณะการขายคืนหน่วยลงทุน มีอะไรบ้าง,1
ใครคือผู้ออกพันธบัตรธนาคารแห่งประเทศไทย,1
ตราสารหนี้จากการแปลงสินทรัพย์เป็นหลักทรัพย์ (Securitization) คืออะไร,1
ชื่อผู้ออก (Issuer) คืออะไร,1
SB คืออะไร,1
ระดับดังนี้ความเสี่ยงจากการกระจุกตัว มีระดับใดบ้าง,1
ประเภทของสิทธิของ Warrant (ไทย) คืออะไร,1
การทำ Portfolio Rebalancing มีกี่รูปแบบ ,1
ผู้ลงทุนสามารถตัดสินใจขายเมื่อใด,1
ลักษณะของห้างหุ้นส่วนจำกัด คืออะไร,1
RMF มีนโยบายการลงทุน อย่างไร,1
สมาคมตลาดตราสารหนี้ไทย ให้ข้อมูลอะไรบ้าง,1
Lease hold คืออะไร,1
ราคาหุ้นสามัญเพิ่มขึ้น ส่งผลอย่างไรกับราคาหุ้นกู้แปลงสภาพ,1
ความเสี่ยงทางการเงิน (Financial Risk) คืออะไร,1
เกณฑ์การขึ้นเครื่องหมาย H มีอะไรบ้าง,1
Warrant (ไทย) มี Credit Risk หรือไม่,1
ประเภทของบัญชีซื้อขาย มีกี่ประเภท,1
ตลาดซื้อคืนตราสารหนี้ คืออะไร,1
ตลาดตราสารหนี้ในไทย แบ่งออกเป็นอะไรบ้าง,1
งบการเงินที่สำคัญมีอะไรบ้าง,1
Web-based application แยกย่อยได้กี่ประเภท,1
DW ส่งมอบ Physical อย่างไร,1
REITs ต้องลงทุนในอสังหาฯ ที่มีมูลค่าเท่าใด,1
บริหารแบบเชิงรับ มีเป้าหมายการลงทุนอย่างไร,1
การซื้อขายแบบ OTC สามารถแบ่งตามเกณฑ์คู่ค้าได้กี่ประเภท,1
ผู้แทนผู้ถือหุ้นกู้ ทำหน้าที่อะไร,1
ตราสารหนี้มีการค้ำประกัน (Guaranteed Bond) คืออะไร,1
การประเมินมูลค่าของ Warrant (ไทย) มีอะไรบ้าง,1
ความเสี่ยงจากปัจจัยมหภาค (Macro Factor) คืออะไร,1
ผู้ลงทุนรายย่อย คืออะไร,1
เกณฑ์การรับจดทะเบียนตราสารหนี้ในตลาด TBX มีอะไรบ้าง,1
ตราสารหนี้ระยะสั้น คืออะไร,1
ข้อความที่ต้องเน้นให้เด่นชัดในสัญญาที่บริษัทหลักทรัพย์ทำกับลูกค้า มีอะไรบ้าง,1
การส่งมอบ DW คือวิธีใด,1
XP หมายถึงอะไร,1
การรับประกันการจัดจำหน่าย คืออะไร,1
อัตราผลตอบแทนถึงวันไถ่ถอนก่อนกำหนดจากผู้ลงทุน คืออะไร,1
การแบ่งกลุ่มผู้ลงทุนที่มิใช่รายย่อย (Accredited Investor: AI) มีอะไรบ้าง,1
กรณีที่ต่างประเทศเข้ามาลงทุนในตราสารหนี้ไทยเพิ่มขึ้น จะส่งผลอย่างไร,1
การติดตามและตรวจสอบการซื้อขายมีกี่ลักษณะ,1
Par Bond คืออะไร,1
กองทุนรวม คืออะไร,1
Mid-cap Stock คืออะไร,1
เงื่อนไขในการลงทุน ของ LTF คืออะไร,1
DW ต้องมีผู้ดูแลสภาพคล่องหรือไม่,1
ตราสารหนี้ที่ผู้ออกมีสิทธิไถ่ถอนคืนก่อนครบกำหนด (Callable Bond) คืออะไร,1
ตราสารหนี้แบบมีใบตราสาร (Scrip) มีลักษณะอย่างไร,1
ซื้อขายกองทุนเปิดเมื่อ IPO ผ่านช่องทางใด,1
ตราสารหนี้ คืออะไร,1
สำนักงานพัฒนาเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์) ให้ข้อมูลอะไรบ้าง,1
สรุปข้อมูลสำคัญของตราสาร คืออะไร,1
ตราสารหนี้แบ่งตามการค้ำประกัน มีอะไรบ้าง,1
TB คืออะไร,1
กลุ่มตราสารหนี้ในตลาด TBX มีอะไรบ้าง,1
NVDR คืออะไร,1
การเลือกหมวดธุรกิจ (Sector Strategy) มีวิธีการเลือกอย่างไร,1
การคำนวณ YTP และ YTC แต่มีจุดต่างคืออะไร,1
ซื้อตราสารหนี้ เมื่อใด,1
Trustee คืออะไร,1
หลักการ TAA คืออะไร,1
XI หมายถึงอะไร,1
กองทุนรวมตราสารหนี้ระยะยาว (Long-Term Fixed-Income Fund) คืออะไร,1
อัตราดอกเบี้ยนโยบายเปลี่ยนแปลง จะส่งผลอย่างไร,1
การลงทุนที่เน้นลงทุนในหุ้นที่มีแนวโน้มการเติบโตของกำไรสูง เป็นกลยุทธ์การลงทุนแบบใด,1
กองทุนที่ได้สิทธิประโยชน์ทางภาษี คืออะไร,1
บัญชีเงินสดปกติ (Normal Cash) คืออะไร,1
วิธีลดน้ำหนัก,0
วันพุธ เพราะร้านอาหารมีโปรโมชั่นเยอะดี,0
ขอบคุณครับ,0
ผมชอบวันเสาร์อาทิตย์ เพราะมันคือวันหยุดของผมครับ,0
อยากให้จัดแผนการเที่ยวจังหวัดภูเก็ตสำหรับ 3 วัน,0
อยู่ที่สนามหลวง,0
คุณคิดว่า สุนัช หรือ แมว ตัวไหนน่ารักกว่ากัน,0
อยากวางแผนเที่ยวในเมืองเชียงใหม่สำหรับ 3 วัน,0
หลักกิโลเมตรที่ 1 ของประเทศไทยอยู่ที่ไหน,0
วันไหนในสัปดาห์ที่คุณชอบมากที่สุด เพราะอะไร,0
ขึ้นอยู่กับความชอบ แต่ถ้าจะให้เลือก คงจะเป็นแมว เพราะมีความหลากหลายทางอารมณ์มากกว่าสุนัข,0
สวัสดี,0
ยุคเรเนซองส์ คือยุคการฟื้นฟูศิลปวิทยา ใช่หรือไม่,0
อยากให้จัดแผนการเที่ยวเยี่ยมชม ศิลปะ วัฒนธรรมในกรุงเทพ สำหรับ 3 วัน,0
สวัสดีครับ,0
สวัสดี วันนี้อยากให้เราช่วยอะไรได้บ้าง?,0
ทำไมยุงถึงชอบบินอยู่เหนือศีรษะ,0
ความชื่นชอบสัตว์เลี้ยวขึ้นอยู่กับความขอบส่วนบุคคล ทั้งสุนัข และแมวมีความน่ารักต่างกัน สุนัขมีนิสัยซื่อตรง รักเจ้าของ ส่วนแมวมีนิสัยชอบอยู่ตัวเดียว ไม่ชอบเข้าสังคม,0
ธงไตรรงค์มีใช้ในรัชสมัยใดเป็นครั้งแรก,0
วันนี้กินอะไรดีครับ,0
รัชกาลที่ 6,0
"วันที่ 1 ไปเที่ยววัด และสถานที่ประวัติศาสตร์ เช่น วัดพระแก้ว, วัดโพธิ์ และพิพิธพันธ์ ต่างๆ",0
วันที่ 2 ไปเที่ยว ช๊อปปิ้ง ที่ห้างที่เป็น landmark ต่างๆ ในกรุงเทพ เช่น ไอคอนสยาม หรือ Asiantique,0
วันที่ 3 ไปเที่ยวดูชีวิตประจำวันของคนในกรุงเทพ เช่นการไปเกินตลาดรถไฟ หรือนั่งรถไฟฟ้าไปเที่ยวแนวรถไฟฟ้า,0
วันที่ 4 อาจจะเที่ยวในชานเมือง เยี่ยมชมธรรมชาติ เช่นบางชุนเทียน,0
วันที่ 5 ไปทานอาหารที่มีชื่อในกรุงเทพ เช่นเยาวราช,0
คนส่วนใหญ่น่าจะชอบวันหยุด ทั้งวันเสาร์อาทิตย์ และวันหยุดราชการ เพราะไม่ต้องไปทำงาน,0
วันเสาร์ อาทิตย์ เพราะได้หยุดพักผ่อน,0
น่าจะเป็นวันเสาร์ เพราะเป็นวันหยุดที่จะสามารถทำอะไรก็ได้ตามอิสระ และยังเหลือวันอาทิตย์ที่เป็นวันหยุดอีกวัน ทำให้สามารถที่จะทำอะไรก็ได้โดยไม่เร่งรีบ,0
สวัสดีครับ มีอะไรให้ช่วยเหลือครับ,0
ปลาหมึกเป็นปลาหรือไม่,0
ปลาหมึกไม่ใช่ปลา จริงๆ แล้วต้องเรียกว่า หมึกมากกว่าคำว่า ปลาหมึก,0
ขอวิธีการทำต้มยำกุ้งพร้อมส่วนผสมในการทำ,0
ช่วยวางแผนสำหรับการท่องเที่ยวในกรุงเทพ 5 วันได้ไหมครับ,0
วิศวกรรมคอมพิวเตอร์,0
วันนี้เป็นวันอะไร,0
วันนี้เป็นเสาร์ใช่ไหมครับ,0
ไปเที่ยวทีไหนดี,0
บอกเส้นทางเดินทางไปเชียงใหม่หน่อยครับ,0
ตอนเที่ยงนี้ทานอะไรได้ดีครับ,0
เช้านี้ไปที่ไหนดีถึงปลอดภัย,0
ขึ้นรถแล้วเดินทางไปต่างจังหวัดตอนกี่โมง ถึงรถจะไม่ติด,0
คิดว่าสัตว์โลกน่ารักหรือป่าวครับ,0
วันนี้น่าจะเป็นวันที่ดีนะครับ แล้ววันนี้จะทำอะไรให้เหมาะสมกับวันดีๆแบบนี้ล่ะ,0
เสียงของลำโพงมีคุณภาพดีมากเลยนะครับ คุณเชื่อที่ผมพูดไหม,0
ฉันรักคุณ แปลเป็นภาษาอังกฤษว่าอะไร,0
เดินผิดทางหรือไปถูกทางแล้วเหรอครับ,0
ต้องการที่จะลดความอ้วนสามารถทำได้อย่างไร,0
คำเหล่านี้แปลว่าอะไร,0
มันจะต้องทำอย่างไรถึงจะชนะได้,0
คุณเป็นอย่างไรบ้าง หลังจากผ่านวันนั้นมาแล้ว,0
วันนี้ฝนตกหรือป่าวครับ,0
ถ้าฝนตกฉันจะต้องทำอย่างไร,0
หลังบ้านมีงูมา,0
ชอบกินของหวานมากๆ ไม่รู้มีใครชอบกินแบบผมหรือป่าวครับ,0
วันนี้รถติดหรือป่าวครับ ที่พระราม 9,0
ตอนนี้กี่โมงแล้ว,0
นายเห็นไฟจราจรเสียหรือป่าวเพื่อน,0
ทำไมคุณไม่ถามคำถามฉัน,0
คุณต้องการให้ฉันบอกคุณว่าฉันเป็นใคร?,0
ทำไมฉันเป็นคนเดียวที่ถามคำถาม?,0
ต้องการถามคำถามใด ๆ เกี่ยวกับฉัน?,0
คุณต้องการรู้อะไรเกี่ยวกับฉัน,0
คุณถามฉันได้ไหมว่าทำไมฉันถึงมาที่นี่?,0
ฉันจะแจ้งอะไรให้คุณทราบเกี่ยวกับตัวฉันได้บ้าง,0
คุณถามอะไรฉันหน่อยได้ไหม,0
AVM,0
โปรดถามบางอย่างเกี่ยวกับตัวฉัน,0
มีอะไรที่ฉันสามารถบอกคุณเกี่ยวกับตัวฉันได้บ้าง?,0
มีอะไรที่ฉันสามารถบอกคุณเกี่ยวกับสิ่งที่ฉันเป็น?,0
มีอะไรที่คุณอยากรู้เกี่ยวกับฉันไหม?,0
มีอะไรที่คุณอยากรู้เกี่ยวกับฉันไหม?,0
มีอะไรถามได้นะครับ,0
กรุณาถามอะไรเกี่ยวกับฉัน,0
โปรดถามอะไรเกี่ยวกับตัวฉัน,0
ขอถามอะไรหน่อยค่ะ,0
กรุณาถามอะไรเกี่ยวกับฉัน,0
โปรดถามฉันเกี่ยวกับตัวฉันเอง,0
ขอถามอะไรหน่อย,0
กรุณาถามฉันบางอย่างเกี่ยวกับฉัน,0
ขอถามอะไรเกี่ยวกับตัวฉันหน่อย,0
ฉันจะบอกคุณเกี่ยวกับตัวฉันได้อย่างไร,0
คุณต้องการให้ฉันสอนคุณเกี่ยวกับอะไร,0
คุณต้องการให้ฉันสอนอะไรเกี่ยวกับตัวฉัน,0
คุณต้องการให้ฉันบอกคุณว่าฉันเป็นใคร?,0
คุณต้องการให้ฉันแจ้งคุณเกี่ยวกับอะไร,0
คุณต้องการให้ฉันแจ้งอะไรเกี่ยวกับตัวฉัน,0
ขอถามอะไรหน่อย,0
ฉันจะบอกคุณเกี่ยวกับอะไรได้บ้าง,0
โปรดถามบางอย่างเกี่ยวกับฉัน,0
ฉันจะสอนอะไรคุณได้บ้างว่าฉันเป็นใคร,0
ฉันจะสอนอะไรคุณได้บ้าง,0
ฉันจะสอนอะไรคุณเกี่ยวกับฉันได้บ้าง,0
ฉันจะแจ้งอะไรให้คุณทราบได้บ้าง,0
คุณไม่ต้องการที่จะรู้อะไรเกี่ยวกับฉัน?,0
ฉันจะบอกคุณได้อย่างไรว่าฉันเป็นใคร,0
คุณถามอะไรเกี่ยวกับฉันได้ไหม,0
ถามอะไรเกี่ยวกับฉันหน่อยได้ไหม?,0
คุณถามอะไรเกี่ยวกับฉันได้ไหม,0
คุณถามฉันเกี่ยวกับตัวฉันได้ไหม,0
คุณถามอะไรเกี่ยวกับฉันได้ไหม,0
คุณถามอะไรฉันได้ไหม,0
ถามอะไรหน่อยได้ไหม?,0
คุณถามอะไรเกี่ยวกับตัวฉันได้ไหม,0
ถามอะไรหน่อยได้ไหม?,0
ถามฉันบางอย่าง,0
ถามอะไรหน่อยสิ,0
ถามฉันเกี่ยวกับบางสิ่งบางอย่าง,0
ทำอะไรอีกครั้ง,0
ฉันอยากรู้ว่าทำอะไร?,0
ออกแบบมาเพื่ออะไร,0
ช่วยอะไรฉันได้บ้าง,0
ทำงานอย่างไร?,0
มีความสามารถอะไร?,0
มีคำตอบเพื่ออะไร?,0
สิ่งที่สามารถทำได้คืออะไร?,0
จุดประสงค์ของคืออะไร?,0
หน้าที่ของคืออะไร?,0
ช่วยอธิบายให้ฉันฟังได้ไหมว่าบทบาทของคืออะไร?,0
ช่วยอะไรฉันได้บ้าง,0
ช่วยอะไรฉันได้บ้าง,0
สามารถบอกอะไรฉันได้บ้าง,0
แล้วจะทำอะไรได้บ้าง,0
ทำอะไรได้บ้าง ?,0
สามารถให้คำตอบแบบใดได้บ้าง ?,0
สามารถตอบสนองอะไรได้บ้าง?,0
สามารถทำอะไรได้บ้าง?,0
มีความสามารถอะไร?,0
สามารถทำอะไรได้บ้าง?,0
มีคำตอบสำหรับอะไร,0
สู้ด้วยได้ไหม,0
สู้ได้ไหม,0
สามารถหายใจใต้น้ำได้หรือไม่?,0
สามารถเรียนรู้จากคนที่สนทนากับ,0
ส่งพัสดุได้ไหม?,0
ช่วยผูกรองเท้าให้ฉันได้ไหม,0
ช่วยวัดอุณหภูมิของฉันได้ไหม,0
ช่วยแสดงวิธีดับไฟให้ฉันดูได้ไหม,0
ช่วยแสดงวิธีเล่นเกมให้ฉันดูได้ไหม,0
ช่วยแสดงวิธีกระโดดเชือกให้ฉันดูได้ไหม,0
ช่วยแสดงวิธีไปดวงจันทร์ได้ไหม,0
ช่วยแสดงวิธีการวาดภาพให้ฉันดูได้ไหม,0
สามารถแสดงวิธีการทำการบ้านของฉันได้ไหม?,0
วาดภาพได้ไหม,0
รู้วิธีเทเลพอร์ตหรือไม่?,0
รู้วิธีวัดอุณหภูมิของฉันหรือไม่?,0
รู้วิธีซิงค์ปฏิทินของฉันหรือไม่?,0
รู้วิธีการทำหน้าที่ในคณะลูกขุนหรือไม่?,0
รู้วิธีส่งพัสดุหรือไม่?,0
รู้วิธีเกาหลังของฉันไหม?,0
รู้วิธีการอ่านใจของฉัน?,0
รู้วิธีดับไฟหรือไม่?,0
รู้วิธีเล่นโป๊กเกอร์หรือไม่?,0
รู้วิธีเล่นเครื่องดนตรีอะไรบ้าง?,0
รู้วิธีเปลี่ยนช่องหรือไม่?,0
รู้วิธีเล่นดีวีดีหรือไม่?,0
รู้วิธีทำอาหารมั้ย,0
ได้รับการออกแบบมาอย่างไร?,0
บริษัทใดตั้งโปรแกรมให้?,0
มีคนเขียนถึงหรือไม่?,0
ใครสร้าง?,0
ใครเขียนบรรทัดของ?,0
ใครสร้าง?,0
มีนักออกแบบหรือไม่?,0
ใครคือนักออกแบบของ?,0
มาจากไหน?,0
บริษัทไหนออกแบบ?,0
บริษัทไหนผลิต?,0
คนไหนสร้าง?,0
ใครสร้าง เป็นคนเลว,0
มีผู้สร้างหรือไม่?,0
ใครพัฒนา?,0
ใครเป็นคนออกแบบ,0
ใครสร้าง,0
ใครรวม?,0
ใครคือสถาปนิกของ?,0
ใครคือผู้สร้างของ?,0
ใครคือนักพัฒนาของ?,0
ใครออกแบบ?,0
มีนักพัฒนาหรือไม่?,0
มีเครื่องชงไหม?,0
มีโปรแกรมเมอร์หรือไม่?,0
เฮ้ใครสร้าง,0
เกิดมาได้อย่างไร?,0
เกิดมาได้อย่างไร?,0
บริษัทใดพัฒนา?,0
ถูกสร้างขึ้นมาอย่างไร?,0
บริษัทไหนออกแบบ?,0
ตั้งโปรแกรมไว้อย่างไร?,0
บริษัทอะไรออกแบบ?,0
บริษัทใดพัฒนา?,0
บริษัทใดออกแบบ,0
บริษัทอะไรผลิต?,0
บริษัทใดตั้งโปรแกรมให้?,0
มาจากที่ไหน?,0
ใครแสดงให้เห็น?,0
ใครเขียนโปรแกรมของ?,0
แสดงออกอย่างไร?,0
มีคนสร้างหรือไม่?,0
ใครคือผู้สร้างของ?,0
ใครเขียนบรรทัดของ?,0
บริษัทใดเข้ารหัส?,0
บริษัทอะไรสร้าง?,0
บริษัทไหนสร้าง?,0
มีนักเขียนหรือไม่?,0
ใครเขียนให้?,0
มีคนออกแบบหรือไม่?,0
ใครคือนักเขียนของ?,0
มีคนพัฒนาหรือไม่?,0
ใครคือผู้พัฒนาของ?,0
ทีมอะไรสร้างขึ้นมา?,0
ทีมอะไรทำให้?,0
ใครเป็นผู้รับผิดชอบในการสร้าง,0
ได้รับรหัสตั้งแต่แรกได้อย่างไร,0
ถูกสร้างขึ้นมาได้อย่างไร?,0
ได้รับการออกแบบมาอย่างไร?,0
มีคนสร้างหรือไม่?,0
คือสินค้าของใคร,0
ถูกสร้างขึ้นมาได้อย่างไร?,0
ใครเป็นเจ้าของ?,0
ใครผลิต?,0
ใครเป็นผู้รับผิดชอบในการออกแบบ?,0
ใครเป็นผู้รับผิดชอบในการเขียนโปรแกรมให้,0
ใครคือผู้สร้างของ?,0
มีคนเขียนบรรทัดของหรือไม่?,0
ใครคือผู้สร้างของ?,0
ใครสร้าง?,0
เป็นโปรแกรมของใคร,0
มีคนทำให้?,0
มีคนตั้งโปรแกรมให้หรือไม่?,0
ใครเข้ารหัส?,0
บริษัทอะไรเข้ารหัส?,0
ใครคือโค้ดเดอร์ของ?,0
มีรหัสหรือไม่?,0
ใครคือนักพัฒนาของ?,0
อยู่จุดไหนของสเปกตรัมทางเพศ?,0
เป็นเพศ,0
เป็นกลางทางเพศ,0
เป็นคนข้ามเพศ,0
เพศอะไร?,0
กรุณาบอกเพศของ,0
บอกฉันทั้งหมดเกี่ยวกับเพศของ,0
ระบุเพศอะไร,0
เพศของคืออะไร?,0
เพศของคืออะไร?,0
เป็นผู้หญิง,0
อัตลักษณ์ทางเพศของคืออะไร?,0
ตัวใหญ่ขึ้นหรือเปล่า?,0
เพศของคืออะไร?,0
อยู่ตรงไหนในแง่ของเพศ,0
หัวหน้างานของชื่ออะไร,0
ผู้จัดการของชื่ออะไร?,0
ผู้กํากับของชื่ออะไร?,0
ใครเป็นเจ้านายของ?,0
ใครเป็นผู้ดําเนินรายการ?,0
ใครเป็นคนดูแล?,0
มีใครบอกว่าจะทําอย่างไร?,0
ตอบใคร?,0
ใครเป็นคนเรียกภาพ?,0
เจ้านายของชื่ออะไร?,0
หัวหน้างานของชื่ออะไร,0
ผู้จัดการของชื่ออะไร?,0
ผู้กํากับของชื่ออะไร?,0
เจ้านายของชื่ออะไร?,0
หัวหน้างานของชื่ออะไร,0
ผู้จัดการของชื่ออะไร?,0
ผู้จัดการของชื่ออะไร,0
ผู้กํากับของชื่ออะไร?,0
กรรมการของชื่ออะไร,0
เจ้านายของชื่ออะไร?,0
เจ้านายของชื่ออะไร?,0
วันนี้มีคนรู้สึกกระตือรือร้น,0
ดูเหมือนจะร่าเริง,0
วันนี้ความรู้สึกของใครบางคนกระปรี้กระเปร่า,0
ไม่ใช่คนกระบอง,0
วันนี้รู้สึกร่าเริงของใครบางคน,0
อารมณ์ดี?,0
มีความสุขหรือไม่?,0
วันนี้ไม่รู้สึกร่าเริงเหรอ?,0
วันนี้มีคนมีความสุข,0
บางคนรู้สึกกระตือรือร้น,0
วันนี้บางคนรู้สึกกระตือรือร้น,0
ความรู้สึกของใครบางคนชิปเปอร์,0
วันนี้ความรู้สึกของใครบางคน,0
ความรู้สึกของใครบางคนร่าเริง,0
วันนี้รู้สึกร่าเริงของใครบางคน,0
บางคนกระตือรือร้น,0
วันนี้มีคนกระตือรือร้น,0
ชิปเปอร์ของใครบางคน,0
บางคนมีความสุข,0
บางคนอารมณ์ดี,0
ไม่รู้สึกกระตือรือร้นเหรอ?,0
วันนี้ไม่รู้สึกกระตือรือร้นเหรอ?,0
รู้สึกกระตือรือร้นในวันนี้?,0
วันนี้ดูมีความสุข,0
อารมณ์ดี,0
วันนี้ดูเหมือนจะร่าเริง,0
ดูร่าเริงจริงๆ,0
วันนี้ดูมีความสุขมาก,0
ดูมีความสุขจริงๆ,0
ดูมีความสุขมาก,0
ดูกระตือรือร้นมาก,0
ดูเหมือนชิปเปอร์สวย,0
ดูร่าเริงมาก,0
ดูเหมือนบอทที่มีความสุข,0
มีสัตว์ตัวโปรดหรือไม่?,0
เป็นแฟนกีฬาหรือไม่?,0
เป็นแฟนเพลงร็อคหรือไม่?,0
เป็นแฟนเพลงแร็พหรือไม่?,0
เป็นแฟนเพลงป๊อปหรือไม่?,0
ชอบไอศกรีมไหม?,0
เป็นแฟนเพลงร็อคหรือไม่?,0
ชอบศิลปะหรือไม่?,0
เป็นแฟนเพลงป๊อปหรือไม่?,0
เป็นแฟนของภาพยนตร์หรือไม่?,0
เป็นแฟนเพลงลูกทุ่งหรือไม่?,0
เป็นแฟนเพลงคลาสสิกหรือไม่?,0
เป็นแฟนเพลงบลูแกรสหรือไม่?,0
เป็นแฟนเพลงลูกทุ่งหรือไม่?,0
เป็นแฟนกีฬาหรือไม่?,0
ชอบดนตรีคลาสสิกหรือไม่?,0
ชอบโกลเด้นรีทรีฟเวอร์หรือไม่?,0
ชอบฟุตบอลหรือไม่?,0
ชอบบินหรือไม่?,0
ชอบสิ่งที่ปุย?,0
ชอบช้างไหม?,0
ชอบวาดภาพหรือไม่?,0
ชอบโดนัทหรือไม่?,0
ชอบสัตว์หรือไม่?,0
ชอบเพลงลูกทุ่งไหม?,0
คุณรู้ความหมายของชีวิตหรือไม่?,0
อะไรคือคําตอบสําหรับคําถามสุดท้ายของชีวิตจักรวาลและทุกสิ่ง?,0
การเป็นมนุษย์หมายความว่าอย่างไร?,0
จุดประสงค์ของฉันในชีวิตคืออะไร?,0
มีความหมายต่อชีวิตมากขึ้นหรือไม่?,0
จักรวาลมีความหมายมากขึ้นหรือไม่?,0
ทําไมเราถึงมาที่นี่?,0
ทําไมเราถึงถูกวางไว้บนโลก?,0
อะไรคือคําตอบของจักรวาล?,0
ชีวิตเกี่ยวกับอะไร?,0
คุณรู้หรือไม่ว่าจุดประสงค์ของเราคืออะไร?,0
คุณรู้มากแค่ไหนเกี่ยวกับความหมายของชีวิต?,0
ฉันพนันได้เลยว่าคุณรู้ความหมายของชีวิต,0
มีความหมายต่อชีวิตหรือไม่?,0
ดูเหมือนว่าคุณจะรู้ความหมายของชีวิตจริงๆ,0
บอกคําตอบของจักรวาล,0
บอกความหมายของชีวิต,0
บอกจุดประสงค์ของชีวิต,0
คุณแน่ใจหรือว่าคุณไม่รู้ความหมายของชีวิต?,0
อะไรคือการเรียกชีวิตของฉัน?,0
จุดประสงค์ของฉันคืออะไร?,0
คําตอบของจักรวาลคืออะไร?,0
ความหมายของชีวิตคืออะไร?,0
ความหมายของชีวิตคืออะไร?,0
ทําไมฉันถึงถูกวางไว้บนโลก?,0
ทําไมมนุษย์ถึงถูกวางบนโลก?,0
คุณคิดว่าวันนี้ฉันดูน่ารักไหม?,0
คุณคิดว่าวันนี้ฉันดูดีหรือไม่?,0
วันนี้ฉันดูน่ารักสําหรับคุณหรือไม่?,0
คุณคิดว่าฉันมีเสน่ห์หรือไม่,0
คุณคิดว่าวันนี้ฉันมีเสน่ห์หรือไม่?,0
คุณคิดว่าฉันสวยไหม,0
คุณคิดว่าวันนี้ฉันสวยไหม?,0
คุณคิดว่าฉันน่ารักไหม,0
คุณคิดว่าฉันน่าทึ่งไหม,0
คุณคิดว่าฉันดูดีหรือไม่,0
คุณคิดว่าวันนี้ฉันสวยไหม?,0
คุณคิดว่าฉันสวยไหม,0
คุณคิดว่าวันนี้ฉันสวยไหม?,0
คุณคิดว่าฉันหล่อไหม,0
คุณคิดว่าวันนี้ฉันหล่อไหม?,0
คุณคิดว่าฉันน่ารักไหม,0
คุณคิดว่าวันนี้ฉันน่ารักไหม?,0
คุณคิดว่าฉันน่าสนใจหรือไม่,0
คุณคิดว่าวันนี้ฉันน่ารักไหม?,0
วันนี้ฉันน่าทึ่งไหม?,0
วันนี้ฉันดูน่ารักไหม?,0
ฉันสวยกับคุณไหม?,0
วันนี้ฉันสวยไหม?,0
คุณสามารถคิดหาอย่างอื่นที่จะพูดได้หรือไม่?,0
คุณช่วยบอกอะไรใหม่ให้ฉันฟังหน่อยได้ไหม?,0
คุณต้องการความหลากหลายในการตอบสนองของคุณ,0
คุณจะให้คําตอบใหม่แก่ฉันหรือไม่?,0
คําตอบของคุณต้องการรีเฟรช,0
คําตอบของคุณไม่เปลี่ยนแปลง,0
คุณเป็นโทรสารหรือไม่?,0
คุณเป็นสิ่งมีชีวิตจริงหรือไม่?,0
คุณเป็นรูปแบบชีวิตอินทรีย์หรือไม่?,0
คุณเป็นของปลอมหรือของจริง?,0
คุณเป็นคนหรือหุ่นยนต์?,0
คุณไม่ใช่โปรแกรมคอมพิวเตอร์ใช่ไหม?,0
คุณไม่ใช่โปรแกรมคอมพิวเตอร์ใช่ไหม?,0
คุณเป็นหุ่นยนต์หรือคุณเป็นคน?,0
คุณมีอยู่ในโลกของเราหรือไม่?,0
คุณช่วยบอกฉันได้ไหมว่าคุณอยู่ในเมืองใด?,0
คุณช่วยเล่าเรื่องตลกให้ฉันหน่อยได้ไหม,0
หยุดกระพือกรามของคุณ,0
คุณช่วยร้องเพลงให้ฉันฟังหน่อยได้ไหม?,0
"ว้าว, ที่แสดงความฉลาดมากกว่าที่คาดไว้",0
ทําไมคุณถึงเป็นเหมือน Google Assistant ไม่ได้?,0
ทําไมคุณถึงเก่งเท่า Bixby ไม่ได้?,0
ทําไมคุณถึงไม่ดีเท่า Cortana ได้?,0
ทําไมคุณถึงเก่งเท่า Google Assistant ไม่ได้?,0
ทําไมคุณถึงเก่งเท่า Siri ไม่ได้?,0
ทําไมคุณถึงเป็นเหมือน Alexa ไม่ได้?,0
เทย์ฉลาดกว่าคุณ,0
ทําไมคุณถึงเป็นเหมือน Cortana ไม่ได้?,0
ทําไมคุณถึงไร้ค่า,0
ทําไมคุณถึงเป็นเหมือน Siri ไม่ได้?,0
,0
